solar_size,prod_cost_wt,hour,demand_kWh,dual,marginal_plant,marginal_type,technology_cost,emissions,flat_unit,flat_unit_eff
10,0.1,4,4254305.47,0.20589548649277584,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,5,4204547.512,0.20589548649277584,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,6,4672900.0,0.20589548649277584,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,7,5038100.0,2.1552672166617954,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,8,5071300.0,2.1552672166617954,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,9,5046400.0,2.1552672166617954,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,10,5046400.0,2.1552672166617954,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,11,5029800.0,2.1552672166617954,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,12,4980000.0,2.1552672166617954,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,13,4963400.0,2.1552672166617954,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,14,4921900.0,0.669,New Solar,solar,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,15,4921900.0,0.669,New Solar,solar,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,16,4921900.0,0.669,New Solar,solar,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,17,5096200.0,2.1552672166617954,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,18,5187500.0,5.773991257408298,mixed,mixed,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,19,5174827.707,2.155267216661795,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,20,5158241.72,2.155267216661795,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,21,4967502.879,2.155267216661795,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,22,4793350.023,0.2094121378389786,HE Pirot,hydro,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,23,4635783.154,0.20589548649277584,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.15,0,4619197.168,0.29355396094019526,HEDJ 1,hydro,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,1,4461630.298,0.29355396094019526,HEDJ 1,hydro,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,2,4469923.292,0.29355396094019526,HEDJ 1,hydro,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,3,4386993.36,0.29355396094019526,HEDJ 1,hydro,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,4,4254305.47,0.29355396094019526,HEDJ 1,hydro,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,5,4204547.512,0.29355396094019526,HEDJ 1,hydro,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,6,4672900.0,0.29355396094019526,HEDJ 1,hydro,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,7,5038100.0,2.9111211369475125,TETO NS,thermal-gas,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,8,5071300.0,2.9111211369475125,TETO NS,thermal-gas,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,9,5046400.0,2.9111211369475125,TETO NS,thermal-gas,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,10,5046400.0,2.9111211369475125,TETO NS,thermal-gas,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,11,5029800.0,2.9111211369475125,TETO NS,thermal-gas,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
10,0.15,12,4980000.0,2.9111211369475125,TETO NS,thermal-gas,489385098.7881989,73154209.90198117,TENT B1,1.6005182707918346
